Algoritmo; Capacidade Máxima; Nome do Arquivo
First_Fit_Decreasing;150;exemploGerado_40caixas_tamanho100

Caixas:
100;50
60;60;30
60;60;30
60;55;35
50;50;50
50;48;45;5;2
45;45;45;15
45;45;45;15
45;43;40;22
40;40;40;30
40;40;40;30
40;40;40;30
40;40;38;32
38;38;38;35;1
35;35;34;33;12;1
33;33;30;30;22;2
30;30;30;30;30
30;30;30;30;30
30;30;30;30;30
30;30;30;30;30
30;30;30;30;30
30;28;27;27;25;12
25;25;25;25;25;25
25;25;25;25;25;25
25;25;25;25;25;25
25;25;25;25;25;25
25;25;25;25;25;20;5
20;20;20;20;20;20;20;10
20;20;20;20;20;20;20;10
20;20;20;20;20;20;20;10
20;20;20;20;20;20;20;10
20;20;20;20;20;20;20;10
20;20;15;15;15;15;15;15;15;5
15;15;15;15;15;15;15;15;15;15
15;15;15;15;15;15;15;15;15;15
15;15;15;15;15;15;12;10;10;10;10;5;3
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
10;10;10;10;10;10;10;10;5;5;5;5;5;5;5;5;5;5;5;5;5;3
3
