Algoritmo; Capacidade Máxima; Nome do Arquivo
Next_Fit_Decreasing;150;exemploGerado_40caixas_tamanho100

Caixas:
100
60;60
60;60
60;55
50;50;50
50;50;48
45;45;45
45;45;45
45;45;43
40;40;40
40;40;40
40;40;40
40;40;40
38;38;38
38;35;35;35
35;34;33;33
33;32;30;30
30;30;30;30;30
30;30;30;30;30
30;30;30;30;30
30;30;30;30;30
30;30;30;30;30
30;30;30;30;30
30;28;27;27;25
25;25;25;25;25;25
25;25;25;25;25;25
25;25;25;25;25;25
25;25;25;25;25;25
25;25;25;25;25;22
22;20;20;20;20;20;20
20;20;20;20;20;20;20
20;20;20;20;20;20;20
20;20;20;20;20;20;20
20;20;20;20;20;20;20
20;20;20;20;15;15;15;15
15;15;15;15;15;15;15;15;15;15
15;15;15;15;15;15;15;15;15;15
15;15;15;15;15;15;15;15;15;15
15;12;12;12;10;10;10;10;10;10;10;10;10
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
10;10;10;10;10;10;10;10;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;3;3;3;2;2;1;1
