Algoritmo; Capacidade Máxima; Nome do Arquivo
Best_Fit;100;exemploGerado_60caixas_tamanho100

Caixas:
60;15;5;10;10
30;30;15;20;5
45;50;5
25;10;30;20;10;5
40;20;25;10;5
30;40;20;10
20;30;30;10;10
45;30;25
25;15;20;10;30
30;25;15;10;10;10
25;25;20;30
12;38;10;20;20
15;25;15;15;10;20
10;15;10;20;10;30;5
30;25;15;10;10;10
40;30;15;10;5
20;25;25;15;10;5
10;20;20;30;10;10
15;15;15;15;20;10;10
25;20;10;10;15;10;10
43;32;25
45;45;10
20;20;60
15;40;45
50;40;10
30;35;35
12;28;60
40;30;30
25;50;25
38;22;40
48;25;27
55;15;30
33;33;34
22;40;38
30;60;10
20;50;30
45;45;10
30;20;50
35;35;30
27;40;33
100
40;60
25;30;45
20;30;40;10
15;25;30;20;10
20;15;25;30;10
15;20;25;25;10;5
30;20;15;20;10;5
15;10;25;20;10;10;10
30;20;25;5;5;12;2;1
25;25;20;30
38;10;20;20;10;2
15;25;15;15;20;5;5
10;15;10;20;10;30;5
30;25;15;10;10;10
40;30;15;10;5
20;25;25;15;10;5
10;20;20;30;10;10
15;15;15;15;20;10;10
25;20;10;10;15;10;3;1;3;3
